datepublication;nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBénéficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPériodeVersement;idRAE;notificationUE;pourcentageSubvention;date_deb;date_fin;objet_reuse;montant_reuse
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-18;2025/352;FONDATION COS A.GLASBERG;77565757000104;Aide au fonctionnement;40000;Aide en numéraire;unique;2025-08-18 / 2026-02-18;sans objet;non;1.00;2025-08-18;;Autre objet;Entre 30 000€ et 100 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-09-19;2024/118;ATLANTIC CLUSTER;83450378100017;Aide au fonctionnement;20000;Aide en numéraire;échelonné;2025-09-19 / 2026-03-19;sans objet;non;1.00;2025-09-19;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-07-17;2025/256;LA CHIFFONNE RIT;80039284700029;Aide au fonctionnement;9711;Aide en numéraire;échelonné;2025-07-17 / 2026-01-17;sans objet;non;1.00;2025-07-17;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-12;2025/324;SEJOUR SPORTIF SOLIDAIRE;81147565600146;AAP CLS 2025;10500;Aide en numéraire;unique;2025-08-12 / 2026-02-12;sans objet;non;1.00;2025-08-12;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-12;2025/324;ACTIONS INTER MEDIATION;42440458000070;AAP CLS 2025;20000;Aide en numéraire;unique;2025-08-12 / 2026-02-12;sans objet;non;1.00;2025-08-12;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-12;2025/327;LA CRAVATE SOLIDAIRE BORDEAUX;84779999600016;AAP CDV 2025;12000;Aide en numéraire;unique;2025-08-12 / 2026-02-12;sans objet;non;1.00;2025-08-12;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-12;2025/327;MUSIQUES DE NUIT DIFFUSION;34169319000033;AAP CDV 2025 -Convention pluriannuelle 2025-2026;20000;Aide en numéraire;échelonné;2025-08-12 / 2026-02-12;sans objet;non;1.00;2025-08-12;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-12;2025/327;COOP ALPHA;48237148100086;AAP CONTRAT DE VILLE;50000;Aide en numéraire;unique;2025-08-12 / 2026-02-12;sans objet;non;1.00;2025-08-12;;Autre objet;Entre 30 000€ et 100 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-12;2025/324;EMMAUS CONNECT;79227291600034;AAP CLS 2025;30000;Aide en numéraire;unique;2025-08-12 / 2026-02-12;sans objet;non;1.00;2025-08-12;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-12;2025/327;ASSO HAUT DE RADIO;41150905200030;AAP CDV 2025 -Convention pluriannuelle 2025-2026;10000;Aide en numéraire;échelonné;2025-08-12 / 2026-02-12;sans objet;non;1.00;2025-08-12;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-08-12;2025/327;WEJOB;82182204600032;AAP CDV 2025 -Convention pluriannuelle 2025-2026;44000;Aide en numéraire;échelonné;2025-08-12 / 2026-02-12;sans objet;non;1.00;2025-08-12;;Autre objet;Entre 30 000€ et 100 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-04-13;2025/172;ASSOCIATION CULTUELLE DE L'EGLISE PROTESTANT UNIE DE BORDEAUX;40997397100016;Aide à l'investissement;20000;Aide en numéraire;échelonné;2025-04-13 / 2025-10-13;sans objet;non;1.00;2025-04-13;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-11-14;2025/455;ADIL 33;30537823400036;Aide au fonctionnement;97740;Aide en numéraire;échelonné;2025-11-14 / 2026-05-14;sans objet;non;1.00;2025-11-14;;Autre objet;Entre 30 000€ et 100 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-11-18;2025/403;ODEYS;84519241800018;Aide au fonctionnement;38000;Aide en numéraire;échelonné;2025-11-18 / 2026-05-18;sans objet;non;1.00;2025-11-18;;Autre objet;Entre 30 000€ et 100 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-11-18;2024/118;FRANCE AMERIQUE LATINE;42191735200039;AAP - ACTION SOLIDARITE INTERNATIONAL 2025/2026;10500;Aide en numéraire;échelonné;2025-11-18 / 2026-05-18;sans objet;non;1.00;2025-11-18;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-11-18;2024/118;ASSOENCORE;78882926500040;AAP - ACTION SOLIDARITE INTERNATIONAL 2025/2026;17800;Aide en numéraire;échelonné;2025-11-18 / 2026-05-18;sans objet;non;1.00;2025-11-18;;Autre objet;Inférieur à 30 000€
2026-01-14;BORDEAUX METROPOLE;24330031600011;2025-11-20;2025/501;FONDS ARMENIEN DE FRANCE;40092901400019;AAP - ACTION SOLIDARITE INTERNATIONAL 2025/2026;40000;Aide en numéraire;échelonné;2025-11-20 / 2026-05-20;sans objet;non;1.00;2025-11-20;;Autre objet;Entre 30 000€ et 100 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2024-12-23;2024/640;COMITE SECOURS POPULAIRE Français;42428660700041;AAP CONTRAT LOCAL DES SOLIDARITES;6185;Aide en numéraire;unique;2024-12-23/2025-06-23;sans objet;non;1.00;2024-12-23;;Autre objet;Inférieur à 30 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2024-12-23;2024/640;ESPACE TEXTILE RIVE DROITE;85029215200012;AAP CONTRAT LOCAL DES SOLIDARITES;15000;Aide en numéraire;unique;2024-12-23/2025-06-23;sans objet;non;1.00;2024-12-23;;Autre objet;Inférieur à 30 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-01-30;2024/578;FUN PER SECOND;92380976800016;AAP RESIDENCES CINEMA;50000;Aide en numéraire;échelonné;2025-01-30/2025-07-30;sans objet;non;1.00;2025-01-30;;Autre objet;Entre 30 000€ et 100 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-02-10;2024/678;EMMAUS CONNECT;79227291600034;Aide au fonctionnement;15000;Aide en numéraire;unique;2025-02-10/2025-08-10;sans objet;non;1.00;2025-02-10;;Autre objet;Inférieur à 30 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-01-07;2024/648;HIPPODROME LE BOUSCAT;78184354500026;Aide à l'investissement;77577;Aide en numéraire;échelonné;2025-01-07/2025-07-07;sans objet;non;1.00;2025-01-07;;Autre objet;Entre 30 000€ et 100 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-01-13;2024/579;TARMAQ;88352417500014;Aide au fonctionnement;198665;Aide en numéraire;échelonné;2025-01-13/2025-07-13;sans objet;non;1.00;2025-01-13;;Autre objet;Entre 100 000€ et 500 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-03-05;2025/41;GIP GPV RIVE DROITE;18330038300019;Aide au fonctionnement;222150;Aide en numéraire;unique;2025-03-05/2025-09-05;sans objet;non;1.00;2025-03-05;;Autre objet;Entre 100 000€ et 500 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-03-06;2025/21;ASSO EUROPEENNE DU FILM D ANIMATION;50907979400012;CARTOON MOVIES;95000;Aide en numéraire;échelonné;2025-03-06/2025-09-06;sans objet;non;1.00;2025-03-06;;Autre objet;Entre 30 000€ et 100 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-02-07;2024/687;UNIS CITE;39819156900142;Aide au fonctionnement;49000;Aide en numéraire;échelonné;2025-02-07/2025-08-07;sans objet;non;1.00;2025-02-07;;Autre objet;Entre 30 000€ et 100 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-01-23;2024/511;MERVEILLES DU MONDE;51956916400048;AAP SOLIDARITE EAU;11500;Aide en numéraire;échelonné;2025-01-23/2025-07-23;sans objet;non;1.00;2025-01-23;;Autre objet;Inférieur à 30 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-03-18;2025/75;SEJOUR SPORTIF SOLIDAIRE;81147565600021;Convention pluriannuelle 2025 à 2027 de fonctionnement MAMMA;19000;Aide en numéraire;échelonné;2025-03-18/2025-09-18;sans objet;non;1.00;2025-03-18;;Autre objet;Inférieur à 30 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-03-18;2025/75;CYCLES ET MANIVELLES;80077623900033;Convention pluriannuelle 2025 à 2027 de fonctionnement MAMMA;54600;Aide en numéraire;échelonné;2025-03-18/2025-09-18;sans objet;non;1.00;2025-03-18;;Autre objet;Entre 30 000€ et 100 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-03-18;2025/75;ETU'RECUP;80127165100029;Convention pluriannuelle 2025 à 2027 de fonctionnement MAMMA;54600;Aide en numéraire;échelonné;2025-03-18/2025-09-18;sans objet;non;1.00;2025-03-18;;Autre objet;Entre 30 000€ et 100 000€
2025-04-04;BORDEAUX METROPOLE;24330031600011;2025-03-18;2025/75;GARAGE MODERNE;43470528100021;Convention pluriannuelle 2025 à 2027 de fonctionnement MAMMA;54600;Aide en numéraire;échelonné;2025-03-18/2025-09-18;sans objet;non;1.00;2025-03-18;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-02-14;2024/511;MEDIAQUART;81389891300013;AAP 2024-2025 SOLIDARITE DECHETS;60000;Aide en numéraire;échelonné;2025-02-14/2025-09-14;sans objet;non;1.00;2025-02-14;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-02-28;2024/511;EXPERTS SOLIDAIRES;75063995700034;AAP 2024-2025 SOLIDARITE DECHETS;60000;Aide en numéraire;échelonné;2025-02-28/2025-09-28;sans objet;non;1.00;2025-02-28;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-03-06;2025/71;PIMMS MEDIATION BORDEAUX;79886728900026;APP ALADDIN 2025;20000;Aide en numéraire;unique;2025-03-06/2025-09-06;sans objet;non;1.00;2025-03-06;;Autre objet;Inférieur à 30 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-03-27;2025/71;EMMAUS CONNECT;79227291600034;APP ALADDIN 2025;20000;Aide en numéraire;unique;2025-03-27/2025-09-27;sans objet;non;1.00;2025-03-27;;Autre objet;Inférieur à 30 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-04-29;2025/116;BORDEAUX TECHNOWEST;37781852100058;Programme ESS TECH;20000;Aide en numéraire;échelonné;2025-04-29/2025-10-29;sans objet;non;1.00;2025-04-29;;Autre objet;Inférieur à 30 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-04-14;2025/75;VELO-CITE;43288382500031;Aide au fonctionnement pluriannuel 2025 à 2027;54600;Aide en numéraire;échelonné;2025-04-14/2025-10-14;sans objet;non;1.00;2025-04-14;;Autre objet;Entre 30 000€ et 100 000€
2025-02-07;BORDEAUX METROPOLE;24330031600011;2025-03-12;2024/292;COLOC 2 CHEF;82502744400017;Aide à l'investissement FICCP 2024;7600;Aide en numéraire;échelonné;2025-03-12/2025-09-12;sans objet;non;1.00;2025-03-12;;Autre objet;Inférieur à 30 000€
